capacity_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78701 | Entire home/apt | 1-2 guests,95,188.79,242.098,0.0577384922235122,0.06946289469728582,0.30881758830853406
78701 | Entire home/apt | 3-4 guests,321,264.92,310.70467289719625,-0.0420164936561322,-0.028895750699958565,0.2443856474369248
78701 | Entire home/apt | 5-6 guests,145,341.0,389.49765517241383,0.0091069207875653,0.02372214338508367,0.2859436752931406
78701 | Entire home/apt | 7+ guests,48,446.75,522.8947916666667,-0.044985805484280605,0.0015311622178225427,0.3134186012752536
78701 | Hotel room | 1-2 guests,1,683.67,683.67,0.1690141945094714,0.1690141945094714,
78701 | Private room | 1-2 guests,84,40.57,151.3802380952381,0.0037133181144606503,-0.002661207081019435,0.2321659107459052
78701 | Private room | 3-4 guests,170,315.08500000000004,351.5001764705882,-0.00886392598223025,0.0023213002662525986,0.23639207671729753
78701 | Private room | 5-6 guests,66,416.33,481.8269696969697,0.01308824045586695,0.06304023087581194,0.2638573948619906
78701 | Private room | 7+ guests,12,774.75,899.5500000000001,0.18163627471518223,0.20038973952097314,0.24653023616654496
78701 | Shared room | 1-2 guests,4,36.5,36.75,-0.40131981807279304,-0.32997855362648765,0.4591404252220088
78701 | Shared room | 3-4 guests,3,53.0,52.0,-0.3542767770511905,-0.37667855278700335,0.12001907773364359
78701 | Shared room | 5-6 guests,1,45.0,45.0,-0.4186124006612766,-0.4186124006612766,
78702 | Entire home/apt | 1-2 guests,185,149.0,160.056,-0.0206100504710304,-0.006981172260200572,0.27897290546631237
78702 | Entire home/apt | 3-4 guests,266,194.0,216.28744360902255,-0.031861822345089,-0.017002074781364306,0.2597903396104148
78702 | Entire home/apt | 5-6 guests,188,287.5,331.8368085106383,-0.0188093454261282,-0.012266479004659988,0.27976645269216044
78702 | Entire home/apt | 7+ guests,396,457.25,575.1086616161616,-0.00829280728489665,0.01623055924412354,0.32898533205146696
78702 | Private room | 1-2 guests,63,97.67,115.98666666666666,0.0521301827874438,0.09200901474905275,0.30527895591550597
78702 | Private room | 3-4 guests,11,179.0,264.42545454545456,0.2757965494760226,0.29550412616680277,0.556944092204909
78702 | Private room | 5-6 guests,3,589.0,579.3333333333334,0.7068772677787001,0.41346975288024357,0.5282793415472505
78703 | Entire home/apt | 1-2 guests,88,169.625,184.69988636363635,-0.011415689043445799,0.013135678790754522,0.2854389383250609
78703 | Entire home/apt | 3-4 guests,153,191.15,209.5602614379085,-0.0084456970450679,-0.0015325521797934828,0.2343166380676129
78703 | Entire home/apt | 5-6 guests,67,257.0,430.7592537313433,-0.0192855247418854,0.059454706445748004,0.3984647780475832
78703 | Entire home/apt | 7+ guests,61,673.86,847.2298360655737,0.0189894093818399,0.04785396830530502,0.3221555095195965
78703 | Private room | 1-2 guests,20,93.435,108.751,0.13574343034440317,0.02961468217082842,0.36158831070362957
78703 | Private room | 3-4 guests,4,217.0,347.5,-0.1874612058637872,0.15814260602646057,0.7015517618387612
78703 | Shared room | 1-2 guests,3,96.0,106.8,-0.1735165713114215,-0.13592473046719325,0.0957634036762748
78704 | Entire home/apt | 1-2 guests,255,154.5,166.94133333333335,-0.0058302898349724,0.008220624146521494,0.3121990692636921
78704 | Entire home/apt | 3-4 guests,548,198.515,241.52138686131386,-0.0090946191218499,0.0038427470509149316,0.33785396564313286
78704 | Entire home/apt | 5-6 guests,280,282.555,384.7402142857143,0.01123739503916435,0.031572363241863244,0.3538503405138771
78704 | Entire home/apt | 7+ guests,325,563.0,731.8330461538461,-0.0081361212192039,0.00725117671988044,0.38763530122400597
78704 | Hotel room | 1-2 guests,20,786.67,832.2995000000001,-0.02381365989026515,-0.0037222470599151043,0.19802529136902544
78704 | Hotel room | 3-4 guests,25,1684.0,1947.9872,-0.0450687314720665,-0.07655806518879116,0.43001681472937064
78704 | Hotel room | 7+ guests,3,3342.0,3112.6666666666665,0.4908430809457966,0.5103124763868534,0.0906260616694363
78704 | Private room | 1-2 guests,65,109.0,151.24615384615385,0.0315237376244361,0.009531088815028066,0.4442078019173872
78704 | Private room | 3-4 guests,2,234.4,234.4,0.2203722809981396,0.2203722809981396,0.2373855982342141
78704 | Private room | 5-6 guests,1,437.67,437.67,-0.4420686312923045,-0.4420686312923045,
78705 | Entire home/apt | 1-2 guests,98,160.0,151.62204081632652,-0.0173883968439021,-0.015830762219363373,0.25348770197503984
78705 | Entire home/apt | 3-4 guests,102,160.5,166.4855882352941,-0.0133897875583106,-0.017681742113709317,0.2626042913275081
78705 | Entire home/apt | 5-6 guests,57,213.4,252.98473684210524,-0.0131431075316177,0.021144810418043773,0.31367566718312123
78705 | Entire home/apt | 7+ guests,49,359.67,428.97857142857146,-0.0490691921105934,-0.03722986781138115,0.32025328873100223
78705 | Hotel room | 1-2 guests,8,211.31,218.91,-0.09658737736999876,-0.0544094897810484,0.08700860316742122
