feature,correlation_with_log_price
price_num,0.8095308002993913
accommodates,0.6436170877703236
bedrooms,0.5912272202860832
bathrooms_num,0.5812799705974484
beds,0.5741032260475868
minimum_nights,-0.4305660046120489
amenity_count,0.31142680580143006
review_scores_cleanliness,0.16666929782006043
review_scores_location,0.13485378056549158
review_scores_rating,0.1309074686203729
next_30_availability_rate,0.10471240146791483
review_scores_value,0.06897518961041563
next_90_availability_rate,0.059054709201658416
reviews_per_month,0.033089727140178826
availability_rate,0.031838505948105625
maximum_nights,0.030919450263791417
reviews_last_365_days,0.024756154622684268
