,price_num,log_price,accommodates,bedrooms,beds,bathrooms_num,minimum_nights,maximum_nights,availability_rate,next_30_availability_rate,next_90_availability_rate,reviews_last_365_days,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,amenity_count
price_num,1.0,0.8095308002993913,0.5412142600305001,0.5287271653162654,0.5175125415578077,0.5863734901926133,-0.19426537382841289,0.004532911272170234,0.06282065683227782,0.07667867007939431,0.03781535343204019,-0.06758425834307683,0.07678176236631576,0.0804795344472884,0.10111527439037508,0.024025496816228425,-0.06930462937138504,0.17617482664022885
log_price,0.8095308002993913,1.0,0.6436170877703236,0.5912272202860832,0.5741032260475868,0.5812799705974484,-0.4305660046120489,0.030919450263791417,0.031838505948105625,0.10471240146791483,0.059054709201658416,0.024756154622684268,0.1309074686203729,0.16666929782006043,0.13485378056549158,0.06897518961041563,0.033089727140178826,0.31142680580143006
accommodates,0.5412142600305001,0.6436170877703236,1.0,0.8728996310658477,0.8986875313481137,0.7745750779452308,-0.15984470815862284,-0.006592805285737811,0.11468496858340856,0.011669708899007796,0.012084181118286096,0.0979033300351009,0.07341400187226135,0.05690716720437187,0.030455785812109823,0.05136690463845853,0.08368349855103832,0.39449323985186324
bedrooms,0.5287271653162654,0.5912272202860832,0.8728996310658477,1.0,0.8444194197510387,0.8466133973571923,-0.08192788690849309,-0.04344309821510387,0.07198092275354147,-0.02062270705424487,-0.020836857779230746,0.020353382908466708,0.10341301205172432,0.06354592277296456,0.028322577732524768,0.07408461556625569,-0.028765622622322302,0.3321490240937131
beds,0.5175125415578077,0.5741032260475868,0.8986875313481137,0.8444194197510387,1.0,0.734792278859653,-0.17395654247914433,-0.015176065013342083,0.11783134132246643,-0.005592988753977888,-0.0027119698923172672,0.07900578829832663,0.07095457502579759,0.04966192931792215,0.03167125385939892,0.05204904295959878,0.055011975552560335,0.3636088137627519
bathrooms_num,0.5863734901926133,0.5812799705974484,0.7745750779452308,0.8466133973571923,0.734792278859653,1.0,-0.06825039218038075,-0.02333530697999002,0.07732602453486087,-0.02590713285832828,-0.026907713451358173,-0.013289182562820783,0.091850651758887,0.0638159669207534,0.05124047996836328,0.06941096963821818,-0.03908454332822885,0.2818335981451477
minimum_nights,-0.19426537382841289,-0.4305660046120489,-0.15984470815862284,-0.08192788690849309,-0.17395654247914433,-0.06825039218038075,1.0,-0.02155753894298626,0.061979687234129076,-0.06123525996019491,-0.04226999255022339,-0.20071277196484552,-0.021969848771275564,-0.06381892205149053,-0.02129237617403973,-0.01411041748363323,-0.24261466852702407,-0.15301757544223668
maximum_nights,0.004532911272170234,0.030919450263791417,-0.006592805285737811,-0.04344309821510387,-0.015176065013342083,-0.02333530697999002,-0.02155753894298626,1.0,-0.019238455735110505,-0.006320457721406449,-0.013656728900780894,-0.0037591068523598874,-0.0155860679228266,-0.0008357996805019839,0.014097315381769459,-0.01616483334799445,-0.029557898451142813,0.061538683438695334
availability_rate,0.06282065683227782,0.031838505948105625,0.11468496858340856,0.07198092275354147,0.11783134132246643,0.07732602453486087,0.061979687234129076,-0.019238455735110505,1.0,0.26973790758905797,0.46296784583405415,-0.0264422917054413,-0.07325528897120574,-0.06494112245879846,-0.047232291209917066,-0.0783398109027601,0.010650998240657333,0.004502763726985033
next_30_availability_rate,0.07667867007939431,0.10471240146791483,0.011669708899007796,-0.02062270705424487,-0.005592988753977888,-0.02590713285832828,-0.06123525996019491,-0.006320457721406449,0.26973790758905797,1.0,0.8173753574311408,-0.07543862771574536,-0.0996853864411413,-0.0876375830528042,-0.0386659487101346,-0.09566067376641055,-0.03043540789367385,-0.1633728757887362
next_90_availability_rate,0.03781535343204019,0.059054709201658416,0.012084181118286096,-0.020836857779230746,-0.0027119698923172672,-0.026907713451358173,-0.04226999255022339,-0.013656728900780894,0.46296784583405415,0.8173753574311408,1.0,-0.024677685899156285,-0.0900942467327983,-0.0815497549259675,-0.04795529892307372,-0.08800421205343793,0.004255075553314291,-0.10539344089456819
reviews_last_365_days,-0.06758425834307683,0.024756154622684268,0.0979033300351009,0.020353382908466708,0.07900578829832663,-0.013289182562820783,-0.20071277196484552,-0.0037591068523598874,-0.0264422917054413,-0.07543862771574536,-0.024677685899156285,1.0,0.09308340574085314,0.10624729499046079,0.04896879736326175,0.10734221983829248,0.8584122859563145,0.2333101645590408
