neighbourhood_model,listings,median_price,mean_price,median_availability_rate,median_reviews_last_365_days
78704,1524,233.97,397.58392388451443,0.8027397260273973,6.0
78702,1112,263.0,350.0224910071943,0.7095890410958904,15.0
78701,950,291.23,337.2730947368421,0.6835616438356165,0.0
78745,591,196.86,247.93494077834177,0.7068493150684931,6.0
78741,493,185.0,261.40024340770793,0.7726027397260274,8.0
78703,396,203.885,335.21116161616163,0.7794520547945205,2.0
78705,377,171.0,201.52320954907162,0.6027397260273972,5.0
78744,349,147.0,212.78659025787968,0.6356164383561644,5.0
78751,335,139.0,157.75328358208955,0.8082191780821918,5.0
78723,333,199.13,253.45078078078078,0.6904109589041096,5.0
78734,313,338.0,518.7500958466453,0.8027397260273973,5.0
78758,307,180.0,210.40071661237783,0.6794520547945205,4.0
78721,304,240.33499999999998,282.3434210526316,0.736986301369863,10.5
78752,208,131.25,174.16552884615385,0.7246575342465753,3.0
78757,193,154.5,234.56518134715026,0.736986301369863,7.0
