final_score_decile,listings,median_actual_price,median_predicted_price,median_percent_above_expected,median_availability_rate,median_reviews_last_365_days,median_residual_signal_score,median_cluster_anomaly_score,median_demand_proxy_score,median_final_overpricing_score
1,1023,181.0,257.9986584803418,-29.96280789517096,0.6219178082191781,13.0,9.63630378837752,27.50733137829912,39.71945259042034,20.976350827518793
2,1023,175.0,233.08871858733824,-22.156702366582586,0.6876712328767123,7.0,17.75049235407182,42.619745845552295,44.581622678396876,28.883613637694193
3,1023,169.0,200.4838686298232,-15.884315235080836,0.7232876712328767,7.0,26.73119805106793,47.18475073313783,46.696969696969695,35.029950572604406
4,1023,195.0,218.5617335921365,-10.67937402172162,0.736986301369863,6.0,34.884654787185376,49.90224828934507,47.48973607038123,40.83904607285041
5,1023,203.76,214.8102058886016,-4.302959249604765,0.7397260273972602,6.0,45.66586961425672,48.58748778103617,47.82697947214076,46.73615043069414
6,1023,209.0,205.5675871509473,1.3366983443060976,0.736986301369863,6.0,55.847507331378296,47.11143695014663,48.25708699902248,52.5937990058443
7,1023,229.0,208.21828648758003,8.569034315730661,0.7397260273972602,6.0,66.12540148024019,46.476050830889534,47.55718475073314,58.576059257761145
8,1023,250.0,205.3340480848528,17.601046601019,0.726027397260274,5.0,76.16280638569711,48.822091886608014,48.399804496578696,64.94956628470321
9,1023,293.0,215.89154091480248,28.940321698836023,0.8082191780821918,3.0,83.63152901973814,56.65200391006842,53.159335288367544,71.66774530623252
10,1023,356.5,220.88429153360184,53.70858838168067,0.8684931506849315,1.0,92.29085387059176,75.50342130987292,63.30009775171065,81.16829639462752
