column,missing_fraction
listing_id,0.0
calendar_days_total,0.0
available_days,0.0
unavailable_days,0.0
availability_rate,0.0
unavailable_rate,0.0
next_30_calendar_days,0.0
next_30_available_days,0.0
next_30_availability_rate,0.0
next_60_calendar_days,0.0
next_60_available_days,0.0
next_60_availability_rate,0.0
next_90_calendar_days,0.0
next_90_available_days,0.0
next_90_availability_rate,0.0
next_180_calendar_days,0.0
next_180_available_days,0.0
next_180_availability_rate,0.0
next_365_calendar_days,0.0
next_365_available_days,0.0
next_365_availability_rate,0.0
calendar_minimum_nights_median,0.0
calendar_minimum_nights_mean,0.0
calendar_maximum_nights_median,0.0
calendar_maximum_nights_mean,0.0
