column,missing_fraction
neighborhood_overview,1.0
host_neighbourhood,1.0
host_total_listings_count,1.0
host_acceptance_rate,1.0
neighbourhood_group_cleansed,1.0
neighbourhood,1.0
host_verifications,1.0
host_response_rate,1.0
host_thumbnail_url,1.0
host_since,1.0
host_response_time,1.0
instant_bookable_num,1.0
host_acceptance_rate_num,1.0
calendar_updated,1.0
instant_bookable,1.0
host_response_rate_num,1.0
license,0.7166177908113393
host_about,0.3509286412512219
host_location,0.2021505376344086
review_scores_communication,0.15777126099706745
review_scores_value,0.15777126099706745
review_scores_checkin,0.15777126099706745
review_scores_rating,0.15777126099706745
last_review,0.15777126099706745
reviews_per_month,0.15777126099706745
review_scores_accuracy,0.15777126099706745
first_review,0.15777126099706745
review_scores_location,0.15777126099706745
review_scores_cleanliness,0.15777126099706745
bedrooms,0.1289345063538612
bathrooms,0.09208211143695015
beds,0.05347018572825024
description,0.007429130009775171
bathrooms_text,0.005865102639296188
bathrooms_from_text,0.005865102639296188
bathrooms_num,0.0005865102639296188
host_profile_url,0.0004887585532746823
host_listings_count,0.00039100684261974585
host_identity_verified,0.00039100684261974585
host_name,0.00039100684261974585
host_profile_id,0.00039100684261974585
hosts_time_as_host_months,0.00039100684261974585
hosts_time_as_host_years,0.00039100684261974585
hosts_time_as_user_months,0.00039100684261974585
host_is_superhost,0.00039100684261974585
host_picture_url,0.00039100684261974585
host_has_profile_pic,0.00039100684261974585
hosts_time_as_user_years,0.00039100684261974585
host_is_superhost_num,0.00039100684261974585
host_identity_verified_num,0.00039100684261974585
host_has_profile_pic_num,0.00039100684261974585
minimum_nights,9.775171065493646e-05
minimum_minimum_nights,9.775171065493646e-05
maximum_nights,9.775171065493646e-05
maximum_minimum_nights,9.775171065493646e-05
minimum_maximum_nights,9.775171065493646e-05
maximum_maximum_nights,9.775171065493646e-05
scrape_id,0.0
listing_url,0.0
picture_url,0.0
host_id,0.0
host_url,0.0
amenities,0.0
property_type,0.0
room_type,0.0
accommodates,0.0
latitude,0.0
neighbourhood_cleansed,0.0
longitude,0.0
listing_id,0.0
name,0.0
source,0.0
last_scraped,0.0
price_quote_total_price,0.0
price_quote_price_per_night,0.0
price_quote_raw,0.0
price_quote_checkout_date,0.0
price,0.0
availability_eoy,0.0
number_of_reviews_ly,0.0
estimated_occupancy_l365d,0.0
estimated_revenue_l365d,0.0
calendar_last_scraped,0.0
number_of_reviews,0.0
number_of_reviews_ltm,0.0
number_of_reviews_l30d,0.0
availability_365,0.0
availability_90,0.0
availability_60,0.0
availability_30,0.0
price_quote_checkin_date,0.0
minimum_nights_avg_ntm,0.0
maximum_nights_avg_ntm,0.0
has_availability,0.0
price_num,0.0
log_price,0.0
calculated_host_listings_count_private_rooms,0.0
calculated_host_listings_count_shared_rooms,0.0
calculated_host_listings_count_entire_homes,0.0
calculated_host_listings_count,0.0
amenity_count,0.0
has_wifi,0.0
has_kitchen,0.0
has_parking,0.0
has_pool,0.0
has_hot_tub,0.0
has_washer,0.0
has_dryer,0.0
has_air_conditioning,0.0
has_dedicated_workspace,0.0
