column,missing_fraction
listing_id,0.0
review_count_from_reviews_file,0.0
first_review_date,0.0
last_review_date,0.0
review_span_days,0.0
days_since_last_review,0.0
review_span_months,0.0
review_span_months_safe,0.0
monthly_review_rate_lifetime,0.0
reviews_last_30_days,0.0
has_review_last_30_days,0.0
reviews_last_60_days,0.0
has_review_last_60_days,0.0
reviews_last_90_days,0.0
has_review_last_90_days,0.0
reviews_last_180_days,0.0
has_review_last_180_days,0.0
reviews_last_365_days,0.0
has_review_last_365_days,0.0
recent_review_share_365,0.0
recent_review_share_180,0.0
review_comments_available,0.0
comment_available_rate,0.0
