model,mae_log,rmse_log,r2_log,mae_price,rmse_price,r2_price,mape_price_pct,model_type,best_params
Gradient boosting,0.22477030421324593,0.3190301077302034,0.8525528282891215,79.63428265497431,190.55390936797073,0.6816527136484589,23.26166655081122,trained_model,
Random forest,0.26285388081102773,0.36493412544564213,0.8070689807126005,91.81247321364617,224.24771350938815,0.559118908598516,27.1046469946051,trained_model,
Lasso regression,0.27978972667533836,0.3835250664731296,0.7869112051698411,96.88343535578177,226.52498260784918,0.5501190148675725,29.182967911406198,trained_model,{'model__alpha': 0.0005}
Ridge regression,0.2793658048973297,0.38360781251293885,0.7868192468728092,96.6077604011686,225.2028259519501,0.5553553226809442,29.27447704914806,trained_model,{'model__alpha': 1.0}
Linear regression,0.28021269866072057,0.3851903967881512,0.7850566527621283,96.83320548892765,225.34954973267529,0.5547757455786371,29.44074194414203,trained_model,
Neighborhood + room type + capacity median,0.40309889015081984,0.5546753429440401,0.5542915923449065,126.83399240037521,263.7783152156128,0.38998065716397134,43.92145433752192,baseline,
Neighborhood + room type median,0.5214168547153103,0.7035917990600975,0.28284233767499256,160.28994589375822,320.815018589491,0.09765044564329184,60.48744034834412,baseline,
Room type median,0.5852348618747533,0.7657577625240902,0.15051459565449887,173.0686559139785,346.865041605276,-0.054839757814225454,62.151402177748736,baseline,
Neighborhood median,0.5999094525161222,0.7881671160403282,0.10006793152356708,173.26648079301197,339.9851856285661,-0.01341053187411867,75.76126641988587,baseline,
Overall median,0.6373529020764395,0.8312510166801902,-0.001007852519219199,181.4308846529814,351.79814979247624,-0.0850569376565471,81.88006789211751,baseline,
