room_type_model,capacity_bucket,listings,median_price,mean_price,median_availability_rate,median_reviews_last_365_days
Entire home/apt,1-2 guests,1513,142.0,157.27844679444812,0.6410958904109589,5.0
Entire home/apt,3-4 guests,2634,185.0,220.62454821564162,0.726027397260274,6.0
Entire home/apt,5-6 guests,1864,252.0,311.41513412017173,0.7328767123287672,7.0
Entire home/apt,7+ guests,2453,432.0,579.5502364451692,0.8246575342465754,10.0
Hotel room,1-2 guests,68,208.51,368.605,0.8767123287671232,0.0
Hotel room,3-4 guests,80,338.2,772.66875,0.8232876712328767,0.0
Hotel room,5-6 guests,3,260.8,215.86666666666667,0.4410958904109589,0.0
Hotel room,7+ guests,33,484.0,760.0242424242424,0.8027397260273973,0.0
Private room,1-2 guests,1095,73.8,102.64285844748858,0.726027397260274,1.0
Private room,3-4 guests,281,275.5,281.3662633451957,0.6054794520547945,0.0
Private room,5-6 guests,94,416.33,413.41542553191493,0.5945205479452055,0.0
Private room,7+ guests,41,454.4,525.3970731707317,0.989041095890411,0.0
Shared room,1-2 guests,67,16.81,23.70179104477612,0.9506849315068492,0.0
Shared room,3-4 guests,3,53.0,52.0,0.9178082191780822,2.0
Shared room,5-6 guests,1,45.0,45.0,0.9178082191780822,15.0
