component,explained_variance_ratio,cumulative_explained_variance
PC1,0.15286685840482853,0.15286685840482853
PC2,0.10603080795070373,0.25889766635553224
PC3,0.09241371106276092,0.35131137741829316
PC4,0.07300972598741907,0.4243211034057122
PC5,0.052965484720272064,0.4772865881259843
PC6,0.047111834629005166,0.5243984227549895
PC7,0.036358230367717195,0.5607566531227067
PC8,0.03202848286594404,0.5927851359886508
PC9,0.02873581597084628,0.6215209519594971
PC10,0.02561502259993485,0.647135974559432
PC11,0.02353992012866411,0.6706758946880961
PC12,0.021259742358753046,0.6919356370468491
PC13,0.021004638956318742,0.7129402760031679
PC14,0.019838324696644705,0.7327786006998126
PC15,0.01930798347610668,0.7520865841759192
PC16,0.017522525501616173,0.7696091096775354
PC17,0.016760170711332466,0.7863692803888679
PC18,0.016097423873515024,0.8024667042623829
PC19,0.015990102273924344,0.8184568065363073
PC20,0.014279025092890169,0.8327358316291974
