simple_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78701 | Entire home/apt,609,284.0,335.4870607553366,-0.0231217081584977,0.0013738022969590614,0.27288128543005524
78701 | Hotel room,1,683.67,683.67,0.1690141945094714,0.1690141945094714,
78701 | Private room,332,321.945,346.58478915662647,0.0091090012063359,0.02029039687503787,0.24408774939872344
78701 | Shared room,8,46.0,43.5,-0.38644458885623356,-0.35857028419102965,0.3091688582568178
78702 | Entire home/apt,1035,272.74,364.5132077294686,-0.0202854429601355,-0.0016356186977615147,0.2947125360402011
78702 | Private room,77,109.0,155.2446753246753,0.0647087103550738,0.13360418929436213,0.3640133014438481
78703 | Entire home/apt,369,209.6,349.20921409214094,-0.0084456970450679,0.021203297150587313,0.2965660845962729
78703 | Private room,24,109.58500000000001,148.5425,0.1321496048232331,0.05103600281343379,0.41784984838526745
78703 | Shared room,3,96.0,106.8,-0.1735165713114215,-0.13592473046719325,0.0957634036762748
78704 | Entire home/apt,1408,233.97,369.67099431818184,-0.0040780928793968,0.01093677463277501,0.34858403458870546
78704 | Hotel room,48,1400.67,1555.9097916666667,-0.02381365989026515,-0.00953039878661502,0.36094267158519544
78704 | Private room,68,109.0,157.9039705882353,0.033342338389224804,0.009091127995305868,0.44011032615868173
78705 | Entire home/apt,306,176.675,219.8711437908497,-0.0162357105778676,-0.01298680301315406,0.27892709188148884
78705 | Hotel room,10,209.71,210.35,-0.10233714574879554,-0.13360352066416048,0.18374537341919445
78705 | Private room,61,48.0,108.03573770491803,-0.0167073267603341,-0.045976979410157284,0.4879310188814632
78717 | Entire home/apt,32,204.79000000000002,306.26125,0.03387306426177475,-0.02782252496772579,0.3192401820489185
78717 | Hotel room,8,105.0,108.75,-0.0271651109013513,-0.05688199386648273,0.15050228942458613
78717 | Private room,16,70.85,93.49812499999999,-0.021951027897147098,0.11204718049105884,0.433100957306728
78719 | Entire home/apt,15,98.5,121.81733333333334,-0.0625124769934428,-0.08932431218049915,0.29487490074345374
78721 | Entire home/apt,284,256.05,294.871338028169,-0.024911775871989603,-0.010660898862057655,0.2591778872232282
78721 | Private room,20,92.5,104.447,-0.0237673256313022,-0.03315551939110241,0.3097080515252776
78722 | Entire home/apt,141,216.0,268.22709219858154,-0.0293935477250997,-0.030745111672791633,0.258302531897442
78722 | Private room,8,79.75,87.90375,-0.0352603744986255,0.017403261299858433,0.2194231968025323
78723 | Entire home/apt,260,218.66,275.57265384615386,-0.02094903996943515,0.009877256555489905,0.4005469675932062
78723 | Hotel room,20,273.5,297.9,0.01712027429673355,0.01900730645007899,0.21410797804700837
78723 | Private room,53,80.0,128.15509433962265,-0.0059268659323414,0.03885651109448748,0.5219018525763431
78724 | Entire home/apt,114,200.87,256.7735087719298,0.039652739932152195,0.03244580684946274,0.30446287330094596
78724 | Private room,50,63.835,118.5766,-0.1569373949565211,-0.06576108583225315,0.549620920467284
78725 | Entire home/apt,50,274.5,292.7634,-0.020322713550331,-0.009210777308813938,0.295973687317812
78725 | Private room,26,62.995000000000005,77.60576923076923,-0.11364962805829121,-0.06693635639688858,0.4193837758794845
78726 | Entire home/apt,8,149.445,185.41125,-0.20407346611242436,-0.2075706346485252,0.3611776006433488
78726 | Private room,6,76.5,327.05333333333334,-0.29556603704598405,0.1353263888459996,1.0833548621143747
78727 | Entire home/apt,85,169.33,247.30435294117646,-0.0098546126876462,0.043596551976692696,0.3834756134116108
78727 | Private room,20,51.015,65.7505,0.017683909814830447,-0.05605854076747987,0.37262973151730117
78728 | Entire home/apt,59,232.66,256.76389830508475,-0.013551835750829,-0.004742563697244678,0.29109438420273875
78728 | Private room,21,81.01,79.7604761904762,-0.0716742076776864,-0.08934853902043237,0.34471869107265896
78729 | Entire home/apt,94,285.3,317.35840425531916,-0.047206775137986295,-0.019155271208932168,0.36457289183256625
78729 | Private room,38,87.81,88.76052631578948,0.0017881490324866498,-0.02060617382412619,0.2867945094819019
78730 | Entire home/apt,33,742.0,860.0984848484849,0.0543283780229879,0.06568526095323837,0.3553137774498855
78731 | Entire home/apt,76,291.0,451.9094736842106,-0.012877358636337502,0.0022590832693002863,0.4027648084456426
78731 | Private room,9,106.23,87.81444444444445,0.0074945407895539,-0.03149208193919531,0.3572570332575566
78732 | Entire home/apt,49,419.0,528.619387755102,-0.0219600506908319,0.038471590853101055,0.5028919592411775
78732 | Private room,3,194.0,213.51666666666665,0.4193119209383438,0.3922978293503654,0.2740174541589258
78733 | Entire home/apt,58,421.5,794.6439655172413,-0.0347026863249464,0.02485317528827002,0.46903271779458877
78733 | Private room,9,385.0,348.1111111111111,0.2622625951362867,0.21445546511093344,0.245449380778013
78734 | Entire home/apt,264,338.5,540.7427272727273,0.00744738486626365,0.00510350380574347,0.3495592742631919
78734 | Hotel room,38,359.0,470.89473684210526,0.0259855933991475,0.03842426235679866,0.18426416176354118
78734 | Private room,11,151.0,156.24545454545455,-0.1331390362830333,-0.28584035778746836,0.618245131425481
78735 | Entire home/apt,49,179.9,286.8316326530612,-0.0387105989456788,-0.021362666337197214,0.25575573487463865
78735 | Private room,2,617.0,617.0,0.2062909863454836,0.2062909863454836,2.1141981234412626
78736 | Entire home/apt,60,284.25,441.3626666666667,-0.06905696199225494,-0.01306501641370408,0.36939802656462345
78736 | Private room,3,126.0,161.33333333333334,0.4629439233068675,0.17703116179943112,0.5668673151774031
78737 | Entire home/apt,145,370.0,541.9643448275863,-0.0150251064299613,0.029069862043195817,0.34364341802605375
78737 | Private room,6,139.0,308.25,0.027240991855153496,0.33057234840944005,0.8998853123650634
