listing_id,name,room_type_model,neighbourhood_model,capacity_bucket,actual_price,oof_predicted_price,oof_percent_above_expected,oof_log_residual,global_residual_percentile,simple_peer_residual_percentile,capacity_peer_residual_percentile,residual_signal_score,availability_rate,reviews_last_365_days,peer_residual_label
711754144810951743,30 Day Stay -$2099,Entire home/apt,78723,3-4 guests,1921.66,87.29172299985768,2101.4229229993925,3.091689027465762,100.0,100.0,100.0,100.0,0.8082191780821918,0.0,high residual across both peer views
1298754878094882223,Departamento @WestCampus,Private room,78705,1-2 guests,1581.0,103.17361757895844,1432.3684844045192,2.729399660459153,99.9902248289345,100.0,100.0,99.9960899315738,0.9972602739726028,0.0,high residual across both peer views
942806692851888109,Lux Hotel Standards. Sleeps 6+,Entire home/apt,78758,5-6 guests,3000.0,224.47633143659016,1236.4437937847522,2.592597293925224,99.980449657869,100.0,100.0,99.99217986314761,0.7397260273972602,0.0,high residual across both peer views
50058508,Plush & comforting,Private room,78723,1-2 guests,1427.0,134.76518452618825,958.8788232042958,2.359795727385645,99.97067448680352,100.0,100.0,99.98826979472142,0.2410958904109589,0.0,high residual across both peer views
574762947862015875,Startup founder suite with dedicated home office,Private room,78724,1-2 guests,1055.67,102.32040262209242,931.7297166030366,2.3338218232345254,99.96089931573803,100.0,100.0,99.98435972629522,1.0,0.0,high residual across both peer views
1329870674954301747,Hill Country Homestead Estate | 3 Homes on 5 Acres,Entire home/apt,78737,7+ guests,2397.0,266.4545917532111,799.5904271074033,2.196769392763665,99.95112414467253,100.0,100.0,99.98044965786902,0.0657534246575342,0.0,high residual across both peer views
1418845993515695144,Walkable Foliage Haven with Pickleball Court,Entire home/apt,78702,7+ guests,2435.67,294.91246867084226,725.8959042923683,2.1112985557320947,99.92179863147605,100.0,100.0,99.96871945259042,0.2273972602739726,4.0,high residual across both peer views
42352624,Tarrytown Carriage House,Entire home/apt,78703,5-6 guests,2939.0,366.74437233901625,701.3756233683134,2.081159594192449,99.91202346041057,100.0,100.0,99.96480938416423,0.9945205479452056,0.0,high residual across both peer views
5418428,for Friends only--housesitting with Maxine the cat,Entire home/apt,78754,1-2 guests,1142.0,133.83961337308742,753.2600858735254,2.1438942222662503,99.94134897360703,100.0,99.94134897360703,99.95894428152492,1.0,0.0,high residual across both peer views
1133280464547453595,SoCo Austin  Stay - Walk to DT | Parking Pool Gym,Entire home/apt,78704,7+ guests,3029.54,423.7830120318481,614.8800008463587,1.9669445116366069,99.89247311827957,100.0,100.0,99.95698924731184,0.8082191780821918,1.0,high residual across both peer views
1686647652004411820,Cozy home in NW Austin,Entire home/apt,78750,7+ guests,2464.58,294.8424206694812,735.8973564264681,2.1233356401644263,99.93157380254154,100.0,99.93157380254154,99.95210166177907,1.0,0.0,high residual across both peer views
1011587295029878080,Charming Contemporary Condo,Entire home/apt,78741,3-4 guests,1712.0,256.05650641887087,568.6024205920467,1.9000194083802957,99.87292277614858,100.0,100.0,99.94916911045944,0.4931506849315068,0.0,high residual across both peer views
51396547,Catch the Spirit and Vibe of South Austin!,Entire home/apt,78745,1-2 guests,1071.0,186.1622380964256,475.3046433859799,1.749729529091379,99.8338220918866,100.0,100.0,99.93352883675465,1.0,0.0,high residual across both peer views
5090933,BEST location in Austin - SoCo (Monthly Rental!),Entire home/apt,78704,3-4 guests,1546.11,228.3386756300497,577.1126248034213,1.912667431734236,99.88269794721407,99.92897727272727,100.0,99.9317723607038,0.9808219178082191,0.0,high residual across both peer views
690079669326713545,Lovely one bedroom with a pool..,Entire home/apt,78727,1-2 guests,1421.0,187.3994456091744,658.2733211300563,2.025873716626,99.90224828934507,100.0,99.90224828934507,99.93157380254155,1.0,0.0,high residual across both peer views
51579959,"2 Double Bed Suite in Austin, Texas",Entire home/apt,78753,3-4 guests,448.03,80.2384372129997,458.3732878678414,1.719857527402958,99.82404692082112,100.0,100.0,99.92961876832845,0.4712328767123288,0.0,high residual across both peer views
1561133540406195049,Luxury DT Condo | Resort Amenities | Massive Patio,Entire home/apt,78701,1-2 guests,1870.0,341.5900842761131,447.4397782836246,1.700082275650269,99.80449657869013,100.0,100.0,99.92179863147607,0.2986301369863013,0.0,high residual across both peer views
737746131692290845,"COTA/Formula 1: 4 miles away, New SE Home, Airport",Entire home/apt,78744,5-6 guests,2805.67,515.8308409171685,443.9128057972266,1.693618764560104,99.79472140762464,100.0,100.0,99.91788856304986,1.0,0.0,high residual across both peer views
1369727864924423085,Lake Austin Adventure Awaits!,Entire home/apt,78746,7+ guests,1991.12,385.1967839082291,416.90981939100834,1.642698242727235,99.75562072336265,100.0,100.0,99.90224828934507,0.9945205479452056,0.0,high residual across both peer views
1619082066318629964,Luxury House Downtown with Massive Yard,Entire home/apt,78702,5-6 guests,1454.0,272.8851240055646,432.8249406407183,1.673022742654369,99.78494623655914,99.90338164251207,100.0,99.88499298737727,0.8273972602739726,2.0,high residual across both peer views
812393572985510339,Brand New Contemporary Charmer,Entire home/apt,78731,7+ guests,2739.0,570.3505483817927,380.2309751031419,1.569097000306697,99.70674486803519,100.0,100.0,99.88269794721407,0.547945205479452,0.0,high residual across both peer views
994184110349186045,Central Austin 3BR Charmer BTW Downtown & Domain,Entire home/apt,78757,5-6 guests,1177.5,257.9099621877734,356.5546790095343,1.518538285646282,99.6871945259042,100.0,100.0,99.87487781036168,0.2410958904109589,29.0,high residual across both peer views
1013143042700106416,Clean City Living,Entire home/apt,78748,3-4 guests,1070.67,249.18209253032188,329.6737334243692,1.4578559752176394,99.65786901270772,100.0,100.0,99.8631476050831,0.9863013698630136,0.0,high residual across both peer views
1268264638407844240,1- Bedroom on SoCo – F1 Weekend!,Entire home/apt,78704,3-4 guests,1998.0,339.2759271630981,488.9011981211132,1.7730882384672633,99.8533724340176,99.85795454545455,99.81751824817519,99.84399081169596,1.0,0.0,high residual across both peer views
812448064577512168,Hill country retreat,Private room,78737,1-2 guests,1070.0,182.63198749258763,485.87765193292194,1.7679407966928755,99.8435972629521,99.8435972629521,99.8435972629521,99.8435972629521,0.736986301369863,0.0,high residual across both peer views
12302534,Charming Eastside home,Private room,78702,3-4 guests,448.03,85.2993778123063,425.24415944258135,1.658693034098958,99.76539589442815,100.0,99.76539589442815,99.83577712609971,0.9972602739726028,0.0,high residual across both peer views
791258209899451893,"Gorgeous House near Tsla, Airport, COTA & Downtown",Private room,78725,1-2 guests,428.0,111.79183786155797,282.8544267516484,1.3424846441309368,99.54056695992179,100.0,100.0,99.81622678396872,0.2273972602739726,0.0,high residual across both peer views
1240020730298665774,F1 weekend room w/ 2 queen beds,Private room,78735,5-6 guests,1142.0,208.3629631370272,448.08205009494833,1.701254816202674,99.81427174975562,99.81427174975562,99.81427174975562,99.81427174975562,0.9972602739726028,0.0,high residual across both peer views
1098476217874230220,"Luxury Designer House w Pool, Gym & Sauna",Entire home/apt,78704,5-6 guests,1041.79,234.50215603868403,344.2560433551595,1.491230884454783,99.67741935483872,99.7159090909091,100.0,99.7857404692082,0.1698630136986301,0.0,high residual across both peer views
1300957445602850578,Modern Light Filled Casita,Entire home/apt,78702,3-4 guests,902.0,217.6766037023829,314.37618221628185,1.421604027958601,99.60899315738025,99.80676328502416,100.0,99.78562624845935,0.7287671232876712,56.0,high residual across both peer views
1556173232192810817,Beautiful Yacht,Entire home/apt,78734,3-4 guests,942.0,277.56031663742834,239.38569151818496,1.221967007756545,99.43304007820137,100.0,100.0,99.77321603128055,1.0,1.0,high residual across both peer views
1270139225068079799,Spacious Clean Safe 1 Bedroom 9mins from COTA,Entire home/apt,78744,3-4 guests,799.0,151.64521060042642,426.8877248654454,1.6618172940596727,99.77517106549365,99.53488372093024,100.0,99.77053354247653,1.0,0.0,high residual across both peer views
33513235,Lake Austin Waterfront Cottage for Nature Lovers,Entire home/apt,78732,3-4 guests,780.07,177.29112478954653,339.9938242402051,1.481590505007997,99.66764418377322,100.0,99.66764418377322,99.76735092864126,0.978082191780822,0.0,high residual across both peer views
1697385308548019475,Keep Austin Cozy,Entire home/apt,78745,3-4 guests,479.5,124.05763355621636,286.51390184926913,1.3519976499546775,99.55034213098729,99.79919678714859,100.0,99.75989588853949,0.1424657534246575,0.0,high residual across both peer views
924117306854909013,Austin Executive Penthouse Suite - Walk Score 99,Entire home/apt,78701,5-6 guests,2040.0,546.8486650754301,273.046535592916,1.3165329861765285,99.51124144672532,99.83579638752053,100.0,99.75523549494629,0.0082191780821917,34.0,high residual across both peer views
15393879,Attractive Executive Condo-Extended Stay,Entire home/apt,78758,3-4 guests,435.8,102.05005919397308,327.0453181919739,1.4517199532061025,99.64809384164222,99.62825278810409,100.0,99.74771337308812,0.5315068493150685,0.0,high residual across both peer views
49852948,Twin Palms.,Entire home/apt,78705,5-6 guests,1255.5,393.1180021450514,219.36975492075015,1.1611793518862925,99.30596285434994,100.0,100.0,99.72238514173998,0.2410958904109589,0.0,high residual across both peer views
1446575107944811069,Riverside Ruby-DT Austin 2 miles,Entire home/apt,78741,1-2 guests,311.57,73.50056242151356,323.9015182131499,1.44433097390018,99.63831867057674,99.54128440366972,100.0,99.71771278933161,0.8904109589041096,1.0,high residual across both peer views
